Lugar,Numero,Casa,Nombre,Edad, Cerveza_Light_500ml,Cerveza_Regular_500ml
Takazaki,1,1,Taylor Suzuki,25,47,57
Takazaki,2,1,Ryouta Kimura,24,50,35
Helvig,3,414,Zaina Mardia,22,120,60
Takazaki,4,137,Prisha Tiwari,27,56,73
Takazaki,5,137,Dheer Tiwari,26,87,41
Takazaki,6,15,Christel Tanguy,24,57,76
Takazaki,7,15,Cyril Humbert,24,67,47
Takazaki,8,23,Roseline Devaux,24,78,52
Takazaki,9,23,Jimmy Pereira,24,37,40
Kinsale,10,226,Kahaan Chatterje,25,34,45
Talu,11,335,Haroon Mehta,27,49,23
Arcadia,12,351,Jean Renard,25,58,37
Kinsale,13,311,Yanick Devaux,23,36,49
Mahuiti,14,58,Mirai Babu,23,59,32
Arcadia,15,1342,Ruddy Lacroix,25,65,53
Biruwa,16,155,Aimee Langlois,23,70,48
Colmar,17,1728,Salima Pasquier,24,39,59
Colmar,18,1728,Murali Ghosh,23,74,54
Colmar,19,1535,Aicha Philippe,24,62,39
Talu,20,129,Jeannine Joubert,25,54,56
Talu,21,96,Alice Mehta,23,72,58
Arcadia,22,1178,Willy Aubert,24,94,55
shinobi,23,7,Dieter Franke,26,68,42
Hofn,24,432,Helmut Eder,26,54,60
Arcadia,25,1247,Ines Nowak,28,73,49
Shinobi,26,230,Miriam Voigt,29,109,53
Hayarano,27,352,Henri Lenz,28,67,40
Shinobi,28,238,Gabriela Miller,27,53,47
Hayarano,29,599,Dennis Ernst,28,86,65
Hofn,30,28,Esther Sommer,23,68,74
Vardo,31,556,Margit Kaefer,22,51,44
Vardo,32,111,Diana Meyer,22,74,69
Hofn,33,808,Nicholas Kimura,21,72,58
Hofn,34,210,Sean Kimura,21,64,96
Vardo,35,249,Laura Blomgren,22,58,80
Hofn,36,143,Evan Falk,21,62,84
Vardo,37,538,Manfred Marx,21,74,67
Hofn,38,284,Angela Friedrich,21,82,99
Helvig,39,456,Tim koening,22,72,82
Hofn,40,314,Andrea Keller,23,120,79
