Lugar,Numero,Casa,Nombre,Edad,Con_cafe_expresso,Sin_cafe_expresso
Shinobi,1,13,Mihn Kimura,27,0,1
Shinobi,3,30,Auna Morris,18,1,8
Shinobi,5,47,Ursula Solberg,26,10,7
Takazaki,7,1,Ryouta Kimura,24,35,46
Takazaki,9,23,Jimmy Pereira,24,9,11
Vardo,11,3,Nirvan Ahmad,20,30,23
Vardo,13,27,Haru Burke,25,0,2
Vardo,15,47,Hanne Solberg,24,0,6
Hofn,17,23,Florian Kuhn,20,16,16
Hofn,19,28,Esther Sommer,23,5,4
Nidoma,21,6,Laasya Achari,21,4,4
Nidoma,23,8,Ketan Ramanujan,27,28,26
Nidoma,25,11,Aadiv Dhirwan,24,42,37
Valais,27,24,Jeneve Bager,24,4,8
Valais,29,50,Danielle Marty,30,12,18
Blondus,31,12,Hallmar Eklun,27,7,11
Blondus,33,38,Arvid Solberg,22,11,8
Blondus,35,183,Pierrick Sorensen,18,4,6
Nelson,37,22,Jake Watanabe,18,49,26
Nelson,39,27,Findlay Mitchell,23,38,48
Takazaki,6,1,Taylor Suzuki,25,3,1
Takazaki,8,15,Christel Tanguy,25,42,50
Vardo,12,16,Taahira Kapoor,21,2,5
Valais,28,25,Seymour McCarthy,18,0,4
Valais,30,91,Pierrick Solberg,18,11,14
Nelson,36,6,Alana Ferguson,25,7,8
Nelson,38,25,Maurice Johnston,24,18,21
Shinobi,2,20,Jake Connolly,18,2,5
Shinobi,4,47,Hans Sorensen,27,3,6
Vardo,14,44,Johann Bachmann,22,0,2
Nidoma,22,7,Tahir Saha,21,20,21
